article, year, half, quartile
237, 12, 2, 4
238, 12, 2, 4
239, 12, 2, 4
240, 12, 2, 4
241, 12, 2, 4
242, 12, 2, 4
243, 12, 2, 4
244, 12, 2, 4
245, 12, 2, 4
246, 12, 2, 4
247, 12, 2, 4
248, 12, 2, 4
249, 12, 2, 4
250, 12, 2, 4
251, 12, 2, 4
252, 12, 2, 4
253, 12, 2, 4
254, 12, 2, 4
255, 12, 2, 4
256, 12, 2, 4
257, 12, 2, 4
258, 12, 2, 4
259, 12, 2, 4
260, 12, 2, 4
261, 12, 2, 4
262, 12, 2, 4
263, 12, 2, 4
264, 12, 2, 4
265, 12, 2, 4
266, 12, 2, 4
267, 12, 2, 4
268, 12, 2, 4
269, 12, 2, 4
270, 12, 2, 4
271, 12, 2, 4
272, 12, 2, 4
273, 12, 2, 4
274, 12, 2, 4
275, 12, 2, 4
276, 12, 2, 4
277, 12, 2, 4
278, 12, 2, 4
279, 12, 2, 4
280, 12, 2, 4
281, 12, 2, 4
282, 12, 2, 4
283, 12, 2, 4
284, 12, 2, 4
285, 12, 2, 4
286, 12, 2, 4
287, 12, 2, 4
288, 12, 2, 4
289, 12, 2, 4
290, 12, 2, 4
291, 12, 2, 4
292, 12, 2, 4
293, 12, 2, 4
294, 12, 2, 4
295, 12, 2, 4
296, 12, 2, 4
297, 12, 2, 4
298, 12, 2, 4
299, 12, 2, 4
300, 12, 2, 4
301, 12, 2, 4
302, 12, 2, 4
303, 12, 2, 4
304, 12, 2, 4
305, 12, 2, 4
306, 12, 2, 4
307, 12, 2, 4
308, 12, 2, 4
309, 12, 2, 4
310, 12, 2, 4
311, 12, 2, 4
312, 12, 2, 4
313, 12, 2, 4
314, 12, 2, 4
315, 12, 2, 4
316, 12, 2, 4
317, 12, 2, 4
318, 12, 2, 4
319, 12, 2, 4
320, 12, 2, 4
321, 12, 2, 4
322, 12, 2, 4
323, 12, 2, 4
324, 12, 2, 4
325, 12, 2, 4
326, 12, 2, 4
327, 12, 2, 4
328, 12, 2, 4
329, 12, 2, 4
330, 12, 2, 4
331, 12, 2, 4
332, 12, 2, 4
333, 12, 2, 4
334, 12, 2, 4
335, 12, 2, 4
336, 12, 2, 4
337, 12, 2, 4
338, 12, 2, 4
339, 12, 2, 4
340, 12, 2, 4
341, 12, 2, 4
342, 12, 2, 4
343, 12, 2, 4
344, 12, 2, 4
345, 12, 2, 4
346, 12, 2, 4
347, 12, 2, 4
348, 12, 2, 4
349, 12, 2, 4
350, 12, 2, 4
351, 12, 2, 4
352, 12, 2, 4
353, 12, 2, 4
354, 12, 2, 4
355, 12, 2, 4
356, 12, 2, 4
357, 12, 2, 4
358, 12, 2, 4
359, 12, 2, 4
360, 12, 2, 4
361, 12, 2, 4
362, 12, 2, 4
363, 12, 2, 4
364, 12, 2, 4
365, 12, 2, 4
366, 12, 2, 4
367, 12, 2, 4
368, 12, 2, 4
369, 12, 2, 4
370, 12, 2, 4
371, 12, 2, 4
372, 12, 2, 4
373, 12, 2, 4
374, 12, 2, 4
375, 12, 2, 4
376, 12, 2, 4
377, 12, 2, 4
378, 12, 2, 4
379, 12, 2, 4
380, 12, 2, 4
381, 12, 2, 4
382, 12, 2, 4
383, 12, 2, 4
384, 12, 2, 4
385, 12, 2, 4
386, 12, 2, 4
387, 12, 2, 4
388, 12, 2, 4
389, 12, 2, 4
390, 12, 2, 4
391, 12, 2, 4
392, 12, 2, 4
393, 12, 2, 4
394, 12, 2, 4
395, 12, 2, 4
396, 12, 2, 4
397, 12, 2, 4
398, 12, 2, 4
399, 12, 2, 4
400, 12, 2, 4
401, 12, 2, 4
402, 12, 2, 4
403, 12, 2, 4
404, 12, 2, 4
405, 12, 2, 4
406, 12, 2, 4
407, 12, 2, 4
408, 12, 2, 4
409, 12, 2, 4
410, 12, 2, 4
411, 12, 2, 4
412, 12, 2, 4
413, 12, 2, 4
414, 12, 2, 4
415, 12, 2, 4
416, 12, 2, 4
417, 12, 2, 4
418, 12, 2, 4
419, 12, 2, 4
420, 12, 2, 4
421, 12, 2, 4
422, 12, 2, 4
423, 12, 2, 4
424, 12, 2, 4
425, 12, 2, 4
426, 12, 2, 4
427, 12, 2, 4
428, 12, 2, 4
429, 12, 2, 4
430, 12, 2, 4
431, 12, 2, 4
432, 12, 2, 4
433, 12, 2, 4
434, 12, 2, 4
435, 12, 2, 4
436, 12, 2, 4
437, 12, 2, 4
438, 12, 2, 4
439, 12, 2, 4
440, 12, 2, 4
441, 12, 2, 4
442, 12, 2, 4
443, 12, 2, 4
444, 12, 2, 4
445, 12, 2, 4
446, 12, 2, 4
447, 12, 2, 4
448, 12, 2, 4
449, 12, 2, 4
450, 12, 2, 4
451, 12, 2, 4
452, 12, 2, 4
453, 12, 2, 4
454, 12, 2, 4
455, 12, 2, 4
456, 12, 2, 4
457, 12, 2, 4
458, 12, 2, 4
459, 12, 2, 4
460, 12, 2, 4
461, 12, 2, 4
462, 12, 2, 4
463, 12, 2, 4
464, 12, 2, 4
465, 12, 2, 4
466, 12, 2, 4
467, 12, 2, 4
468, 12, 2, 4
469, 12, 2, 4
470, 12, 2, 4
471, 12, 2, 4
472, 12, 2, 4
473, 12, 2, 4
474, 12, 2, 4
475, 12, 2, 4
476, 12, 2, 4
477, 12, 2, 4
478, 12, 2, 4
479, 12, 2, 4
480, 12, 2, 4
481, 12, 2, 4
482, 12, 2, 4
483, 12, 2, 4
484, 12, 2, 4
485, 12, 2, 4
486, 12, 2, 4
487, 12, 2, 4
488, 12, 2, 4
489, 12, 2, 4
490, 12, 2, 4
491, 12, 2, 4
492, 12, 2, 4
493, 12, 2, 4
494, 12, 2, 4
495, 12, 2, 4
496, 12, 2, 4
497, 12, 2, 4
498, 12, 2, 4
499, 12, 2, 4
500, 12, 2, 4
501, 12, 2, 4
502, 12, 2, 4
503, 12, 2, 4
504, 12, 2, 4
505, 12, 2, 4
506, 12, 2, 4
507, 12, 2, 4
508, 12, 2, 4
509, 12, 2, 4
510, 12, 2, 4
511, 12, 2, 4
512, 12, 2, 4
513, 12, 2, 4
514, 12, 2, 4
515, 12, 2, 4
516, 12, 2, 4
517, 12, 2, 4
518, 12, 2, 4
519, 12, 2, 4
520, 12, 2, 4
521, 12, 2, 4
522, 12, 2, 4
523, 12, 2, 4
524, 12, 2, 4
525, 12, 2, 4
526, 12, 2, 4
527, 12, 2, 4
528, 12, 2, 4
529, 12, 2, 4
530, 12, 2, 4
531, 12, 2, 4
532, 12, 2, 4
533, 12, 2, 4
534, 12, 2, 4
535, 12, 2, 4
536, 12, 2, 4
537, 12, 2, 4
538, 12, 2, 4
539, 12, 2, 4
540, 12, 2, 4
541, 12, 2, 4
542, 12, 2, 4
543, 12, 2, 4
544, 12, 2, 4
545, 12, 2, 4
546, 12, 2, 4
547, 12, 2, 4
548, 12, 2, 4
549, 12, 2, 4
550, 12, 2, 4
551, 12, 2, 4
552, 12, 2, 4
553, 12, 2, 4
554, 12, 2, 4
555, 12, 2, 4
556, 12, 2, 4
557, 12, 2, 4
558, 12, 2, 4
559, 12, 2, 4
560, 12, 2, 4
561, 12, 2, 4
562, 12, 2, 4
563, 12, 2, 4
564, 12, 2, 4
565, 12, 2, 4
566, 12, 2, 4
567, 12, 2, 4
568, 12, 2, 4
569, 12, 2, 4
570, 13, 1, 1
571, 13, 1, 1
572, 13, 1, 1
573, 13, 1, 1
574, 13, 1, 1
575, 13, 1, 1
576, 13, 1, 1
577, 13, 1, 1
578, 13, 1, 1
579, 13, 1, 1
580, 13, 1, 1
581, 13, 1, 1
582, 13, 1, 1
583, 13, 1, 1
584, 13, 1, 1
585, 13, 1, 1
586, 13, 1, 1
587, 13, 1, 1
588, 13, 1, 1
589, 13, 1, 1
590, 13, 1, 1
591, 13, 1, 1
592, 13, 1, 1
593, 13, 1, 1
594, 13, 1, 1
595, 13, 1, 1
596, 13, 1, 1
597, 13, 1, 1
598, 13, 1, 1
599, 13, 1, 1
600, 13, 1, 1
601, 13, 1, 1
602, 13, 1, 1
603, 13, 1, 1
604, 13, 1, 1
605, 13, 1, 1
606, 13, 1, 1
607, 13, 1, 1
608, 13, 1, 1
609, 13, 1, 1
610, 13, 1, 1
611, 13, 1, 1
612, 13, 1, 1
613, 13, 1, 1
614, 13, 1, 1
615, 13, 1, 1
616, 13, 1, 1
617, 13, 1, 1
618, 13, 1, 1
619, 13, 1, 1
620, 13, 1, 1
621, 13, 1, 1
622, 13, 1, 1
623, 13, 1, 1
624, 13, 1, 1
625, 13, 1, 1
626, 13, 1, 1
627, 13, 1, 1
628, 13, 1, 1
629, 13, 1, 1
630, 13, 1, 1
631, 13, 1, 1
632, 13, 1, 1
633, 13, 1, 1
634, 13, 1, 1
635, 13, 1, 1
636, 13, 1, 1
637, 13, 1, 1
638, 13, 1, 1
639, 13, 1, 1
640, 13, 1, 1
641, 13, 1, 1
642, 13, 1, 1
643, 13, 1, 1
644, 13, 1, 1
645, 13, 1, 1
646, 13, 1, 1
647, 13, 1, 1
648, 13, 1, 1
649, 13, 1, 1
650, 13, 1, 1
651, 13, 1, 1
652, 13, 1, 1
653, 13, 1, 1
654, 13, 1, 1
656, 13, 1, 1
657, 13, 1, 1
658, 13, 1, 1
659, 13, 1, 1
660, 13, 1, 1
661, 13, 1, 1
662, 13, 1, 1
663, 13, 1, 1
664, 13, 1, 1
665, 13, 1, 1
666, 13, 1, 1
667, 13, 1, 1
668, 13, 1, 1
669, 13, 1, 1
670, 13, 1, 1
671, 13, 1, 1
672, 13, 1, 1
673, 13, 1, 1
674, 13, 1, 1
675, 13, 1, 1
676, 13, 1, 1
677, 13, 1, 1
678, 13, 1, 1
679, 13, 1, 1
680, 13, 1, 1
681, 13, 1, 1
682, 13, 1, 1
683, 13, 1, 1
684, 13, 1, 1
685, 13, 1, 1
686, 13, 1, 1
687, 13, 1, 1
688, 13, 1, 1
689, 13, 1, 1
690, 13, 1, 1
691, 13, 1, 1
692, 13, 1, 1
693, 13, 1, 1
694, 13, 1, 1
695, 13, 1, 1
696, 13, 1, 1
697, 13, 1, 1
698, 13, 1, 1
699, 13, 1, 1
700, 13, 1, 1
701, 13, 1, 1
702, 13, 1, 1
703, 13, 1, 1
704, 13, 1, 1
705, 13, 1, 1
706, 13, 1, 1
707, 13, 1, 1
708, 13, 1, 1
709, 13, 1, 1
710, 13, 1, 1
711, 13, 1, 1
712, 13, 1, 1
713, 13, 1, 1
714, 13, 1, 1
715, 13, 1, 1
716, 13, 1, 1
717, 13, 1, 1
718, 13, 1, 1
719, 13, 1, 1
720, 13, 1, 1
721, 13, 1, 1
722, 13, 1, 1
723, 13, 1, 1
724, 13, 1, 1
725, 13, 1, 1
726, 13, 1, 1
727, 13, 1, 1
728, 13, 1, 1
729, 13, 1, 1
730, 13, 1, 1
732, 13, 1, 1
733, 13, 1, 1
734, 13, 1, 1
735, 13, 1, 1
736, 13, 1, 1
737, 13, 1, 1
738, 13, 1, 1
739, 13, 1, 1
740, 13, 1, 1
741, 13, 1, 1
742, 13, 1, 1
743, 13, 1, 1
744, 13, 1, 1
745, 13, 1, 1
746, 13, 1, 1
747, 13, 1, 1
748, 13, 1, 1
749, 13, 1, 1
750, 13, 1, 1
751, 13, 1, 1
752, 13, 1, 1
753, 13, 1, 1
754, 13, 1, 1
755, 13, 1, 1
756, 13, 1, 1
757, 13, 1, 1
758, 13, 1, 1
759, 13, 1, 1
760, 13, 1, 1
761, 13, 1, 1
762, 13, 1, 1
763, 13, 1, 1
764, 13, 1, 1
765, 13, 1, 1
766, 13, 1, 1
767, 13, 1, 1
768, 13, 1, 1
769, 13, 1, 1
770, 13, 1, 1
771, 13, 1, 1
772, 13, 1, 1
773, 13, 1, 1
774, 13, 1, 1
775, 13, 1, 1
776, 13, 1, 1
777, 13, 1, 1
778, 13, 1, 1
779, 13, 1, 1
780, 13, 1, 1
781, 13, 1, 1
782, 13, 1, 1
783, 13, 1, 1
784, 13, 1, 1
785, 13, 1, 1
786, 13, 1, 1
787, 13, 1, 1
788, 13, 1, 1
789, 13, 1, 1
790, 13, 1, 1
791, 13, 1, 1
792, 13, 1, 1
793, 13, 1, 1
794, 13, 1, 1
795, 13, 1, 1
796, 13, 1, 1
797, 13, 1, 1
798, 13, 1, 1
799, 13, 1, 1
800, 13, 1, 1
801, 13, 1, 1
802, 13, 1, 1
803, 13, 1, 1
804, 13, 1, 1
805, 13, 1, 1
806, 13, 1, 1
807, 13, 1, 1
808, 13, 1, 1
809, 13, 1, 1
810, 13, 1, 1
811, 13, 1, 1
812, 13, 1, 1
813, 13, 1, 1
814, 13, 1, 1
815, 13, 1, 1
816, 13, 1, 1
817, 13, 1, 1
818, 13, 1, 1
819, 13, 1, 1
820, 13, 1, 1
821, 13, 1, 1
822, 13, 1, 1
823, 13, 1, 1
824, 13, 1, 1
825, 13, 1, 1
826, 13, 1, 1
827, 13, 1, 1
828, 13, 1, 1
829, 13, 1, 1
830, 13, 1, 1
831, 13, 1, 1
832, 13, 1, 1
833, 13, 1, 1
834, 13, 1, 1
835, 13, 1, 1
836, 13, 1, 1
837, 13, 1, 1
838, 13, 1, 1
839, 13, 1, 1
840, 13, 1, 1
841, 13, 1, 1
842, 13, 1, 1
843, 13, 1, 1
844, 13, 1, 1
845, 13, 1, 1
846, 13, 1, 1
847, 13, 1, 1
848, 13, 1, 1
849, 13, 1, 1
850, 13, 1, 1
851, 13, 1, 1
852, 13, 1, 1
853, 13, 1, 1
854, 13, 1, 1
855, 13, 1, 1
856, 13, 1, 1
857, 13, 1, 1
858, 13, 1, 1
859, 13, 1, 1
860, 13, 1, 1
861, 13, 1, 1
862, 13, 1, 1
863, 13, 1, 1
864, 13, 1, 1
865, 13, 1, 1
866, 13, 1, 1
867, 13, 1, 1
868, 13, 1, 1
869, 13, 1, 1
870, 13, 1, 1
871, 13, 1, 1
872, 13, 1, 1
873, 13, 1, 1
874, 13, 1, 1
875, 13, 1, 1
876, 13, 1, 1
877, 13, 1, 1
878, 13, 1, 1
879, 13, 1, 1
880, 13, 1, 1
881, 13, 1, 1
882, 13, 1, 1
883, 13, 1, 1
884, 13, 1, 1
885, 13, 1, 1
886, 13, 1, 1
887, 13, 1, 1
888, 13, 1, 1
889, 13, 1, 1
890, 13, 1, 1
891, 13, 1, 1
892, 13, 1, 1
893, 13, 1, 1
894, 13, 1, 1
895, 13, 1, 1
896, 13, 1, 1
897, 13, 1, 1
898, 13, 1, 1
899, 13, 1, 1
900, 13, 1, 1
901, 13, 1, 1
902, 13, 1, 1
903, 13, 1, 1
904, 13, 1, 1
905, 13, 1, 1
906, 13, 1, 1
907, 13, 1, 1
908, 13, 1, 1
909, 13, 1, 1
910, 13, 1, 1
911, 13, 1, 1
912, 13, 1, 1
913, 13, 1, 1
914, 13, 1, 1
915, 13, 1, 1
916, 13, 1, 1
917, 13, 1, 1
918, 13, 1, 1
919, 13, 1, 1
920, 13, 1, 1
921, 13, 1, 1
922, 13, 1, 1
924, 13, 1, 1
925, 13, 1, 1
926, 13, 1, 1
927, 13, 1, 1
928, 13, 1, 1
929, 13, 1, 1
930, 13, 1, 1
931, 13, 1, 1
932, 13, 1, 1
933, 13, 1, 1
934, 13, 1, 1
935, 13, 1, 1
936, 13, 1, 1
937, 13, 1, 1
938, 13, 1, 1
939, 13, 1, 1
940, 13, 1, 1
941, 13, 1, 1
942, 13, 1, 1
944, 13, 1, 1
945, 13, 1, 1
946, 13, 1, 1
947, 13, 1, 1
948, 13, 1, 1
949, 13, 1, 1
950, 13, 1, 1
951, 13, 1, 1
952, 13, 1, 1
953, 13, 1, 1
954, 13, 1, 1
955, 13, 1, 1
956, 13, 1, 1
957, 13, 1, 1
958, 13, 1, 1
959, 13, 1, 1
960, 13, 1, 1
961, 13, 1, 1
962, 13, 1, 1
963, 13, 1, 1
964, 13, 1, 1
965, 13, 1, 1
966, 13, 1, 1
967, 13, 1, 1
968, 13, 1, 1
969, 13, 1, 1
970, 13, 1, 1
971, 13, 1, 1
972, 13, 1, 1
973, 13, 1, 1
974, 13, 1, 1
975, 13, 1, 1
976, 13, 1, 1
977, 13, 1, 1
978, 13, 1, 1
979, 13, 1, 1
980, 13, 1, 1
981, 13, 1, 1
982, 13, 1, 1
983, 13, 1, 1
984, 13, 1, 1
985, 13, 1, 1
986, 13, 1, 1
987, 13, 1, 1
988, 13, 1, 1
989, 13, 1, 1
990, 13, 1, 1
991, 13, 1, 1
992, 13, 1, 1
993, 13, 1, 1
994, 13, 1, 1
995, 13, 1, 1
996, 13, 1, 1
997, 13, 1, 1
998, 13, 1, 1
999, 13, 1, 1
1000, 13, 1, 1
1001, 13, 1, 1
1002, 13, 1, 1
1003, 13, 1, 1
1004, 13, 1, 1
1005, 13, 1, 1
1006, 13, 1, 1
1007, 13, 1, 1
1008, 13, 1, 1
1009, 13, 1, 1
1010, 13, 1, 1
1011, 13, 1, 1
1012, 13, 1, 1
1013, 13, 1, 1
1014, 13, 1, 1
1015, 13, 1, 1
1016, 13, 1, 1
1017, 13, 1, 1
1018, 13, 1, 1
1019, 13, 1, 1
1020, 13, 1, 1
1021, 13, 1, 1
1022, 13, 1, 1
1023, 13, 1, 1
1024, 13, 1, 1
1025, 13, 1, 1
1026, 13, 1, 1
1027, 13, 1, 1
1028, 13, 1, 1
1029, 13, 1, 1
1030, 13, 1, 1
1031, 13, 1, 1
1032, 13, 1, 1
1033, 13, 1, 1
1034, 13, 1, 1
1035, 13, 1, 1
1036, 13, 1, 1
1037, 13, 1, 1
1038, 13, 1, 1
1039, 13, 1, 1
1040, 13, 1, 1
1041, 13, 1, 1
1042, 13, 1, 1
1043, 13, 1, 1
1044, 13, 1, 1
1045, 13, 1, 1
1046, 13, 1, 1
1047, 13, 1, 1
1048, 13, 1, 1
1049, 13, 1, 1
1050, 13, 1, 1
1051, 13, 1, 1
1052, 13, 1, 1
1053, 13, 1, 1
1054, 13, 1, 1
1055, 13, 1, 1
1056, 13, 1, 1
1057, 13, 1, 1
1058, 13, 1, 1
1059, 13, 1, 1
1060, 13, 1, 1
1061, 13, 1, 1
1062, 13, 1, 1
1063, 13, 1, 1
1064, 13, 1, 1
1065, 13, 1, 1
1066, 13, 1, 1
1067, 13, 1, 1
1068, 13, 1, 1
1069, 13, 1, 1
1070, 13, 1, 1
1071, 13, 1, 1
1072, 13, 1, 1
1073, 13, 1, 1
1074, 13, 1, 1
1075, 13, 1, 1
1076, 13, 1, 1
1077, 13, 1, 1
1078, 13, 1, 1
1079, 13, 1, 1
1080, 13, 1, 1
1081, 13, 1, 1
1082, 13, 1, 1
1083, 13, 1, 1
1084, 13, 1, 1
1085, 13, 1, 1
1086, 13, 1, 1
1087, 13, 1, 1
1088, 13, 1, 1
1089, 13, 1, 1
1090, 13, 1, 1
1091, 13, 1, 1
1092, 13, 1, 1
1093, 13, 1, 1
1094, 13, 1, 1
1095, 13, 1, 1
1096, 13, 1, 1
1097, 13, 1, 1
1098, 13, 1, 1
1099, 13, 1, 1
1100, 13, 1, 1
1101, 13, 1, 1
1102, 13, 1, 1
1103, 13, 1, 1
1105, 13, 1, 1
1107, 13, 1, 1
1108, 13, 1, 1
1109, 13, 1, 1
1110, 13, 1, 1
1111, 13, 1, 1
1112, 13, 1, 1
1113, 13, 1, 1
1114, 13, 1, 1
1115, 13, 1, 1
1116, 13, 1, 1
1119, 13, 1, 1
1120, 13, 1, 1
1121, 13, 1, 1
1122, 13, 1, 1
1123, 13, 1, 1
1124, 13, 1, 1
1125, 13, 1, 1
1126, 13, 1, 1
1127, 13, 1, 1
1128, 13, 1, 1
1129, 13, 1, 1
1130, 13, 1, 1
1131, 13, 1, 1
1132, 13, 1, 1
1133, 13, 1, 1
1134, 13, 1, 1
1135, 13, 1, 2
1136, 13, 1, 2
1137, 13, 1, 2
1138, 13, 1, 2
1139, 13, 1, 2
1140, 13, 1, 2
1141, 13, 1, 2
1142, 13, 1, 2
1143, 13, 1, 2
1144, 13, 1, 2
1145, 13, 1, 2
1146, 13, 1, 2
1147, 13, 1, 2
1148, 13, 1, 2
1149, 13, 1, 2
1150, 13, 1, 2
1151, 13, 1, 2
1152, 13, 1, 2
1153, 13, 1, 2
1154, 13, 1, 2
1155, 13, 1, 2
1156, 13, 1, 2
1157, 13, 1, 2
1158, 13, 1, 2
1159, 13, 1, 2
1160, 13, 1, 2
1161, 13, 1, 2
1162, 13, 1, 2
1163, 13, 1, 2
1164, 13, 1, 2
1165, 13, 1, 2
1166, 13, 1, 2
1167, 13, 1, 2
1168, 13, 1, 2
1169, 13, 1, 2
1170, 13, 1, 2
1171, 13, 1, 2
1172, 13, 1, 2
1173, 13, 1, 2
1174, 13, 1, 2
1175, 13, 1, 2
1176, 13, 1, 2
1177, 13, 1, 2
1178, 13, 1, 2
1179, 13, 1, 2
1180, 13, 1, 2
1181, 13, 1, 2
1183, 13, 1, 2
1184, 13, 1, 2
1185, 13, 1, 2
1186, 13, 1, 2
1187, 13, 1, 2
1188, 13, 1, 2
1189, 13, 1, 2
1190, 13, 1, 2
1191, 13, 1, 2
1192, 13, 1, 2
1193, 13, 1, 2
1194, 13, 1, 2
1195, 13, 1, 2
1196, 13, 1, 2
1197, 13, 1, 2
1198, 13, 1, 2
1199, 13, 1, 2
1200, 13, 1, 2
1201, 13, 1, 2
1202, 13, 1, 2
1203, 13, 1, 2
1204, 13, 1, 2
1205, 13, 1, 2
1206, 13, 1, 2
1207, 13, 1, 2
1208, 13, 1, 2
1209, 13, 1, 2
1210, 13, 1, 2
1211, 13, 1, 2
1212, 13, 1, 2
1213, 13, 1, 2
1214, 13, 1, 2
1215, 13, 1, 2
1216, 13, 1, 2
1217, 13, 1, 2
1218, 13, 1, 2
1219, 13, 1, 2
1220, 13, 1, 2
1221, 13, 1, 2
1222, 13, 1, 2
1223, 13, 1, 2
1224, 13, 1, 2
1225, 13, 1, 2
1226, 13, 1, 2
1227, 13, 1, 2
1228, 13, 1, 2
1229, 13, 1, 2
1230, 13, 1, 2
1231, 13, 1, 2
1232, 13, 1, 2
1233, 13, 1, 2
1234, 13, 1, 2
1235, 13, 1, 2
1236, 13, 1, 2
1237, 13, 1, 2
1238, 13, 1, 2
1239, 13, 1, 2
1240, 13, 1, 2
1241, 13, 1, 2
1242, 13, 1, 2
1243, 13, 1, 2
1244, 13, 1, 2
1245, 13, 1, 2
1246, 13, 1, 2
1247, 13, 1, 2
1248, 13, 1, 2
1249, 13, 1, 2
1250, 13, 1, 2
1251, 13, 1, 2
1252, 13, 1, 2
1253, 13, 1, 2
1254, 13, 1, 2
1255, 13, 1, 2
1256, 13, 1, 2
1257, 13, 1, 2
1258, 13, 1, 2
1259, 13, 1, 2
